Location,Start Date,End Date,confirmed total,Deaths Total,Recovered Total,Rows
Afghanistan,24/02/2020,04/08/2021,148933,6836,82586,528
Albania,09/03/2020,04/08/2021,133310,2457,130314,514
Algeria,25/02/2020,04/08/2021,176724,4404,118409,527
Andorra,02/03/2020,04/08/2021,14797,128,14380,521
Angola,20/03/2020,04/08/2021,43158,1026,39582,503
Antigua And Barbuda,13/03/2020,04/08/2021,1311,43,1239,510
Argentina,03/03/2020,04/08/2021,4975616,106747,4615834,520
Armenia,01/03/2020,04/08/2021,230993,4625,220438,522
Australia - Australian Capital Territory,13/03/2020,04/08/2021,124,3,121,510
Australia - New South Wales,26/01/2020,31/07/2020,3773,50,2997,188
Australia - Northern Territory,04/03/2020,04/08/2021,200,0,193,519
Australia - Queensland,29/01/2020,04/08/2021,1886,7,1727,554
Australia - South Australia,01/02/2020,04/08/2021,866,4,841,551
Australia - Tasmania,02/03/2020,04/08/2021,235,13,221,521
Australia - Victoria,26/01/2020,04/08/2021,20961,820,20061,557
Australia - Western Australia,29/02/2020,04/08/2021,1058,9,1039,523
Austria,25/02/2020,04/08/2021,655955,13147,644388,527
Azerbaijan,01/03/2020,04/08/2021,346878,5039,333694,522
Bahamas,16/03/2020,04/08/2021,15124,292,12702,507
Bahrain,24/02/2020,04/08/2021,269617,1384,267220,528
Bangladesh,08/03/2020,04/08/2021,1309910,21638,1141157,515
Barbados,17/03/2020,04/08/2021,4433,48,4251,506
Belarus,28/02/2020,04/08/2021,449302,3494,443417,524
Belgium,04/02/2020,11/11/2020,515391,13758,31130,282
Belize,23/03/2020,04/08/2021,14331,338,13543,500
Benin,16/03/2020,04/08/2021,8608,110,8136,507
Bhutan,06/03/2020,04/08/2021,2540,2,2418,517
Bolivia,11/03/2020,04/08/2021,476097,17910,411830,512
Bosnia And Herzegovina,05/03/2020,04/08/2021,205949,9689,189710,518
Botswana,30/03/2020,04/08/2021,115220,1653,96964,493
Brazil,26/02/2020,04/08/2021,20034407,559944,17771228,526
Brunei,09/03/2020,04/08/2021,338,3,280,514
Bulgaria,08/03/2020,04/08/2021,426432,18229,398721,515
Burkina Faso,10/03/2020,04/08/2021,13599,169,13385,513
Burma,27/03/2020,04/08/2021,315118,10695,225849,496
