Location,Population,Start Date,End Date,confirmed total,Deaths Total,Recovered Total,Rows
Afghanistan,39068979.0,24/02/2020,04/08/2021,148933.0,6836.0,82586.0,528.0
Angola,33451132.0,20/03/2020,04/08/2021,43158.0,1026.0,39582.0,503.0
Albania,2528480.0,09/03/2020,04/08/2021,133310.0,2457.0,130314.0,514.0
Andorra,77380.0,02/03/2020,04/08/2021,14797.0,128.0,14380.0,521.0
United Arab Emirates,9401038.0,29/01/2020,04/08/2021,686981.0,1965.0,664130.0,554.0
Argentina,45191965.0,03/03/2020,04/08/2021,4975616.0,106747.0,4615834.0,520.0
Armenia,2961500.0,01/03/2020,04/08/2021,230993.0,4625.0,220438.0,522.0
Antigua And Barbuda,91846.0,13/03/2020,04/08/2021,1311.0,43.0,1239.0,510.0
Austria,8916864.0,25/02/2020,04/08/2021,655955.0,13147.0,644388.0,527.0
Azerbaijan,10093121.0,01/03/2020,04/08/2021,346878.0,5039.0,333694.0,522.0
Burundi,12617036.0,31/03/2020,04/08/2021,7518.0,38.0,773.0,492.0
Belgium,11538604.0,04/02/2020,11/11/2020,515391.0,13758.0,31130.0,282.0
Benin,13070169.0,16/03/2020,04/08/2021,8608.0,110.0,8136.0,507.0
Burkina Faso,21478690.0,10/03/2020,04/08/2021,13599.0,169.0,13385.0,513.0
Bangladesh,166298024.0,08/03/2020,04/08/2021,1309910.0,21638.0,1141157.0,515.0
Bulgaria,6550696.0,08/03/2020,04/08/2021,426432.0,18229.0,398721.0,515.0
Bahrain,1472204.0,24/02/2020,04/08/2021,269617.0,1384.0,267220.0,528.0
Bahamas,395863.0,16/03/2020,04/08/2021,15124.0,292.0,12702.0,507.0
Bosnia And Herzegovina,3299349.0,05/03/2020,04/08/2021,205949.0,9689.0,189710.0,518.0
Belarus,9379952.0,28/02/2020,04/08/2021,449302.0,3494.0,443417.0,524.0
Belize,390812.0,23/03/2020,04/08/2021,14331.0,338.0,13543.0,500.0
Bolivia,11816299.0,11/03/2020,04/08/2021,476097.0,17910.0,411830.0,512.0
Brazil,208660842.0,26/02/2020,04/08/2021,20034407.0,559944.0,17771228.0,526.0
Barbados,281698.0,17/03/2020,04/08/2021,4433.0,48.0,4251.0,506.0
Brunei,447404.0,09/03/2020,04/08/2021,338.0,3.0,280.0,514.0
Bhutan,770006.0,06/03/2020,04/08/2021,2540.0,2.0,2418.0,517.0
Botswana,2365894.0,30/03/2020,04/08/2021,115220.0,1653.0,96964.0,493.0
Central African Republic,5026628.0,15/03/2020,04/08/2021,7151.0,98.0,6859.0,508.0
Switzerland,8638167.0,25/02/2020,04/08/2021,721776.0,10796.0,317600.0,527.0
Chile,19370624.0,23/02/2020,04/08/2021,1619183.0,35671.0,1575377.0,529.0
Cote D'Ivoire,28915449.0,11/03/2020,04/08/2021,50650.0,334.0,49642.0,512.0
Cameroon,26210558.0,06/03/2020,04/08/2021,82064.0,1334.0,35261.0,517.0
Congo (Kinshasa),95989998.0,11/03/2020,04/08/2021,50793.0,1045.0,30043.0,512.0
Congo (Brazzaville),5752791.0,15/03/2020,04/08/2021,13216.0,178.0,12421.0,508.0
Colombia,50629997.0,06/03/2020,04/08/2021,4815063.0,121695.0,4615354.0,517.0
Comoros,802163.0,30/04/2020,04/08/2021,4029.0,147.0,3873.0,462.0
Cabo Verde,514679.0,20/03/2020,04/08/2021,33906.0,298.0,33173.0,503.0
Costa Rica,5034320.0,06/03/2020,04/08/2021,412918.0,5087.0,334759.0,517.0
Cuba,11176354.0,12/03/2020,04/08/2021,422614.0,3091.0,373354.0,511.0
Cyprus,1302247.0,10/03/2020,04/08/2021,105036.0,431.0,39061.0,513.0
Czechia,10697858.0,01/03/2020,04/08/2021,1674183.0,30378.0,1641321.0,522.0
Germany,83160871.0,27/01/2020,04/08/2021,3777446.0,91704.0,3659260.0,556.0
Djibouti,1105188.0,18/03/2020,04/08/2021,11655.0,156.0,11491.0,505.0
Dominica,67573.0,22/03/2020,04/08/2021,218.0,0.0,209.0,501.0
Denmark,5831404.0,27/02/2020,04/08/2021,320222.0,2550.0,306324.0,525.0
Dominican Republic,11008300.0,01/03/2020,04/08/2021,343186.0,3971.0,324861.0,522.0
Algeria,44042091.0,25/02/2020,04/08/2021,176724.0,4404.0,118409.0,527.0
Ecuador,17546065.0,01/03/2020,04/08/2021,489497.0,31721.0,443880.0,522.0
Egypt,109315124.0,14/02/2020,04/08/2021,284472.0,16550.0,232179.0,538.0
Eritrea,3291271.0,21/03/2020,04/08/2021,6568.0,35.0,6475.0,502.0
Spain,47359424.0,01/02/2020,04/08/2021,4545184.0,81844.0,150376.0,551.0
Estonia,1329522.0,27/02/2020,04/08/2021,134221.0,1273.0,129183.0,525.0
Ethiopia,118917671.0,13/03/2020,04/08/2021,281811.0,4403.0,264008.0,510.0
Finland,5529543.0,29/01/2020,04/08/2021,110076.0,1012.0,46000.0,554.0
Fiji,914963.0,19/03/2020,04/08/2021,33920.0,272.0,10848.0,504.0
France,67601110.0,24/01/2020,04/08/2021,6111503.0,110972.0,342647.0,559.0
Micronesia,110916.0,21/01/2021,04/08/2021,1.0,0.0,1.0,196.0
Gabon,2322539.0,14/03/2020,04/08/2021,25440.0,165.0,25228.0,509.0
United Kingdom,66740000.0,31/01/2020,12/04/2020,92885.0,19861.0,344.0,73.0
Georgia,3722716.0,26/02/2020,04/08/2021,432903.0,5948.0,390827.0,526.0
Ghana,31887809.0,14/03/2020,04/08/2021,106053.0,847.0,98633.0,509.0
Guinea,13371183.0,13/03/2020,04/08/2021,26188.0,238.0,24463.0,510.0
Gambia,2515733.0,17/03/2020,04/08/2021,8392.0,233.0,7310.0,506.0
Guinea-Bissau,2013255.0,25/03/2020,04/08/2021,4629.0,79.0,4027.0,498.0
Equatorial Guinea,1716468.0,15/03/2020,04/08/2021,8928.0,123.0,8709.0,508.0
Greece,10698599.0,26/02/2020,04/08/2021,503885.0,13013.0,93764.0,526.0
Grenada,116341.0,22/03/2020,04/08/2021,164.0,1.0,161.0,501.0
Guatemala,17357325.0,14/03/2020,04/08/2021,377446.0,10524.0,331374.0,509.0
Guyana,807481.0,12/03/2020,04/08/2021,22643.0,549.0,22327.0,511.0
Honduras,10119640.0,11/03/2020,04/08/2021,303387.0,8014.0,102384.0,512.0
Croatia,3914206.0,25/02/2020,04/08/2021,364244.0,8267.0,354830.0,527.0
Haiti,11243848.0,20/03/2020,04/08/2021,20433.0,572.0,12961.0,503.0
Hungary,9670419.0,04/03/2020,04/08/2021,809731.0,30032.0,749773.0,519.0
Indonesia,274814866.0,02/03/2020,04/08/2021,3532567.0,100636.0,2907920.0,521.0
India,1402617695.0,30/01/2020,04/08/2021,31812114.0,426290.0,30974748.0,553.0
Ireland,5039747.0,29/02/2020,04/08/2021,305527.0,5044.0,23364.0,523.0
Iran,87723443.0,19/02/2020,04/08/2021,4019084.0,92194.0,3444798.0,533.0
Iraq,42116605.0,24/02/2020,04/08/2021,1673084.0,18938.0,1494760.0,528.0
Iceland,366463.0,28/02/2020,04/08/2021,8353.0,30.0,6993.0,524.0
Israel,9215100.0,21/02/2020,04/08/2021,885766.0,6503.0,854888.0,531.0
Italy,59438851.0,31/01/2020,04/08/2021,4369964.0,128136.0,4144608.0,552.0
Jamaica,2830739.0,11/03/2020,04/08/2021,53639.0,1207.0,47101.0,512.0
Jordan,10865228.0,03/03/2020,04/08/2021,774554.0,10082.0,752624.0,520.0
Japan,126261000.0,22/01/2020,04/08/2021,971743.0,15233.0,852451.0,561.0
Kazakhstan,19482117.0,13/03/2020,04/08/2021,672895.0,9077.0,555079.0,510.0
Kenya,52217334.0,13/03/2020,04/08/2021,206691.0,4025.0,191188.0,510.0
Kyrgyzstan,6726596.0,18/03/2020,04/08/2021,166236.0,2363.0,150852.0,505.0
Cambodia,16725474.0,27/01/2020,04/08/2021,79634.0,1488.0,72803.0,556.0
"Korea, South",51836239.0,22/01/2020,04/08/2021,205702.0,2109.0,180719.0,561.0
Kuwait,4400267.0,24/02/2020,04/08/2021,400979.0,2351.0,388880.0,528.0
Laos,7346533.0,24/03/2020,04/08/2021,7305.0,7.0,3804.0,499.0
Lebanon,5702398.0,21/02/2020,04/08/2021,565896.0,7921.0,537653.0,531.0
Liberia,5149463.0,17/03/2020,04/08/2021,5459.0,220.0,2715.0,506.0
Libya,7045399.0,24/03/2020,04/08/2021,260951.0,3635.0,195639.0,499.0
Liechtenstein,38901.0,04/03/2020,04/08/2021,3195.0,58.0,3011.0,519.0
Sri Lanka,21919000.0,27/01/2020,04/08/2021,318775.0,4727.0,284524.0,556.0
Lesotho,2235727.0,13/05/2020,04/08/2021,13603.0,377.0,6664.0,449.0
Lithuania,2810369.0,19/03/2020,04/08/2021,284586.0,4418.0,269840.0,504.0
Luxembourg,630419.0,29/02/2020,04/08/2021,74144.0,824.0,72306.0,523.0
Latvia,1900449.0,02/03/2020,04/08/2021,139134.0,2558.0,135690.0,521.0
Morocco,36584208.0,02/03/2020,04/08/2021,653286.0,10015.0,582692.0,521.0
Monaco,38050.0,29/02/2020,04/08/2021,2940.0,33.0,2759.0,523.0
Moldova,2635130.0,08/03/2020,04/08/2021,260024.0,6266.0,252421.0,515.0
Madagascar,28953556.0,20/03/2020,04/08/2021,42685.0,943.0,41177.0,503.0
Maldives,502118.0,08/03/2020,04/08/2021,77895.0,222.0,75095.0,515.0
Mexico,126799054.0,28/02/2020,04/08/2021,2901094.0,242547.0,2270427.0,524.0
Marshall Islands,42706.0,28/10/2020,04/08/2021,4.0,0.0,4.0,281.0
