Location,Start Date,End Date,confirmed total,Deaths Total,Recovered Total,Rows,Population
Afghanistan,24/02/2020,04/08/2021,148933,6836,82586,528,39068979.0
Albania,09/03/2020,04/08/2021,133310,2457,130314,514,2528480.0
Algeria,25/02/2020,04/08/2021,176724,4404,118409,527,44042091.0
Andorra,02/03/2020,04/08/2021,14797,128,14380,521,77380.0
Angola,20/03/2020,04/08/2021,43158,1026,39582,503,33451132.0
Antigua and Barbuda,13/03/2020,04/08/2021,1311,43,1239,510,91846.0
Argentina,03/03/2020,04/08/2021,4975616,106747,4615834,520,45191965.0
Armenia,01/03/2020,04/08/2021,230993,4625,220438,522,2961500.0
Austria,25/02/2020,04/08/2021,655955,13147,644388,527,8916864.0
Azerbaijan,01/03/2020,04/08/2021,346878,5039,333694,522,10093121.0
"Bahamas, The",16/03/2020,04/08/2021,15124,292,12702,507,395863.0
Bahrain,24/02/2020,04/08/2021,269617,1384,267220,528,1472204.0
Bangladesh,08/03/2020,04/08/2021,1309910,21638,1141157,515,166298024.0
Barbados,17/03/2020,04/08/2021,4433,48,4251,506,281698.0
Belarus,28/02/2020,04/08/2021,449302,3494,443417,524,9379952.0
Belgium,04/02/2020,11/11/2020,515391,13758,31130,282,11538604.0
Belize,23/03/2020,04/08/2021,14331,338,13543,500,390812.0
Benin,16/03/2020,04/08/2021,8608,110,8136,507,13070169.0
Bhutan,06/03/2020,04/08/2021,2540,2,2418,517,770006.0
Bolivia,11/03/2020,04/08/2021,476097,17910,411830,512,11816299.0
Bosnia and Herzegovina,05/03/2020,04/08/2021,205949,9689,189710,518,3299349.0
Botswana,30/03/2020,04/08/2021,115220,1653,96964,493,2365894.0
Brazil,26/02/2020,04/08/2021,20034407,559944,17771228,526,208660842.0
Brunei Darussalam,09/03/2020,04/08/2021,338,3,280,514,447404.0
Bulgaria,08/03/2020,04/08/2021,426432,18229,398721,515,6550696.0
Burkina Faso,10/03/2020,04/08/2021,13599,169,13385,513,21478690.0
Myanmar,27/03/2020,04/08/2021,315118,10695,225849,496,53016522.0
Burundi,31/03/2020,04/08/2021,7518,38,773,492,12617036.0
Cabo Verde,20/03/2020,04/08/2021,33906,298,33173,503,514679.0
Cambodia,27/01/2020,04/08/2021,79634,1488,72803,556,16725474.0
Cameroon,06/03/2020,04/08/2021,82064,1334,35261,517,26210558.0
Central African Republic,15/03/2020,04/08/2021,7151,98,6859,508,5026628.0
Chad,19/03/2020,04/08/2021,4974,174,4796,504,17224679.0
Chile,23/02/2020,04/08/2021,1619183,35671,1575377,529,19370624.0
Colombia,06/03/2020,04/08/2021,4815063,121695,4615354,517,50629997.0
Comoros,30/04/2020,04/08/2021,4029,147,3873,462,802163.0
"Congo, Rep.",15/03/2020,04/08/2021,13216,178,12421,508,5752791.0
"Congo, Dem. Rep.",11/03/2020,04/08/2021,50793,1045,30043,512,95989998.0
Costa Rica,06/03/2020,04/08/2021,412918,5087,334759,517,5034320.0
Cote d'Ivoire,11/03/2020,04/08/2021,50650,334,49642,512,28915449.0
Croatia,25/02/2020,04/08/2021,364244,8267,354830,527,3914206.0
Cuba,12/03/2020,04/08/2021,422614,3091,373354,511,11176354.0
Cyprus,10/03/2020,04/08/2021,105036,431,39061,513,1302247.0
Czechia,01/03/2020,04/08/2021,1674183,30378,1641321,522,10697858.0
Denmark,27/02/2020,04/08/2021,320222,2550,306324,525,5831404.0
Djibouti,18/03/2020,04/08/2021,11655,156,11491,505,1105188.0
Dominica,22/03/2020,04/08/2021,218,0,209,501,67573.0
Dominican Republic,01/03/2020,04/08/2021,343186,3971,324861,522,11008300.0
Ecuador,01/03/2020,04/08/2021,489497,31721,443880,522,17546065.0
"Egypt, Arab Rep.",14/02/2020,04/08/2021,284472,16550,232179,538,109315124.0
El Salvador,19/03/2020,04/08/2021,87498,2672,76670,504,6234673.0
